Gene,Total,Ring,Tro,Sch,Gam,Ook
PBANKA_000010,15.21046633,0.226442104,0.301334943,0.114084273,0.25363555,0.10450313
PBANKA_000020,545.4297833,0.658128344,0.184467833,0.0726858,0.064289944,0.02042808
PBANKA_000030,42.00282883,0.181835729,0.13458534,0.041242591,0.596818136,0.045518204
PBANKA_000040,58.9225105,0.100472637,0.201294291,0.603754825,0.005681793,0.088796454
PBANKA_000050,28.848622,0.213388875,0.188219389,0.053491186,0.498704929,0.046195621
PBANKA_000060,12.7352415,0.4762446,0.385666028,0.020736356,0.088105907,0.029247109
PBANKA_000070,11.4387335,0.390864994,0.268566446,0.147261932,0.093606954,0.099699674
PBANKA_000080,12.75505702,0.390738618,0.328509704,0.145532866,0.072430096,0.062788717
PBANKA_000090,24.96480983,0.126254116,0.165788165,0.062748926,0.641586041,0.003622753
PBANKA_000100,3.69168635,0.46230902,0.345212155,0.133345294,0.035082978,0.024050553
PBANKA_000110,26.387853,0.465218788,0.231236698,0.100440911,0.086348935,0.116754667
PBANKA_000120,25.223495,0.170958664,0.223223031,0.03958698,0.0025772,0.563654125
PBANKA_000130,9.323058667,0.084758128,0.153837925,0.672255772,0.048616877,0.040531298
PBANKA_000140,59.08079133,0.541323149,0.393715952,0.034098485,0.013130824,0.017731589
PBANKA_000150,2247.6455,0.108575173,0.308279041,0,0.583145785,0
PBANKA_000160,139.4616417,0.156348045,0.101862418,0.677463702,0.01124094,0.053084895
PBANKA_000165,107.3994,0.222433272,0.041151999,0.736414729,0,0
PBANKA_000170,10.55090083,0.598726128,0.17219051,0.032465332,0.151361009,0.04525702
PBANKA_000180,14.658359,0.508374778,0.295657242,0.045713712,0.074066613,0.076187655
PBANKA_000190,17.5932535,0.282789934,0.149481448,0.047322941,0.465334624,0.055071053
PBANKA_000200,34.222306,0.21994003,0.178297307,0.043001193,0.520978919,0.03778255
PBANKA_000210,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
PBANKA_000220,139.4246413,0.20833516,0.075224436,0.690137691,0.005523794,0.020778919
PBANKA_000230,113.72273,0.341180255,0.425568837,0.120299609,0.074745831,0.038205467
PBANKA_000235,988.7883428,0.257550609,0.37113605,0.357756038,0.011666501,0.001890802
PBANKA_000240,10.98912567,0.06212123,0.114459106,0.1447809,0.643777787,0.034860978
PBANKA_000250,13.93774933,0.351226363,0.323885148,0.051758715,0.234371054,0.038758721
PBANKA_000260,2.1252695,0.45782429,0.298558606,0,0.146134408,0.097482696
PBANKA_000270,233.8442727,0.309592787,0.493412982,0.10369465,0.09047859,0.002820991
PBANKA_000280,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
PBANKA_000290,0.973369,0,0.547354087,0,0.452645913,0
