current_version_ID,category
PBANKA_1038000,mETC & assembly
PBANKA_1013800,mETC & assembly
PBANKA_1137700,mETC & assembly
PBANKA_0828600,mETC & assembly
PBANKA_0828800,mETC & assembly
PBANKA_1326300,mETC & assembly
PBANKA_1303300,mETC & assembly
PBANKA_1210700,mETC & assembly
PBANKA_0404400,mETC & assembly
PBANKA_1121500,mETC & assembly
PBANKA_1017700,mETC & assembly
PBANKA_1237900,mETC & assembly
PBANKA_0834400,mETC & assembly
PBANKA_1410200,mETC & assembly
PBANKA_1303500,mETC & assembly
PBANKA_1009800,mETC & assembly
PBANKA_1219400,mETC & assembly
PBANKA_1300900,mETC & assembly
PBANKA_0600800,mETC & assembly
PBANKA_1439500,mETC & assembly
PBANKA_0602600,mETC & assembly
PBANKA_0102000,mETC & assembly
PBANKA_0308100,mETC & assembly
PBANKA_1449500,mETC & assembly
PBANKA_0213700,mETC & assembly
PBANKA_1234100,mETC & assembly
PBANKA_0705000,mETC & assembly
PBANKA_1245400,mETC & assembly
PBANKA_1321800,mETC & assembly
PBANKA_0102100,ubiquinone-dependent oxidoreductases
PBANKA_1116300,ubiquinone-dependent oxidoreductases
PBANKA_0816000,ubiquinone-dependent oxidoreductases
PBANKA_0518200,ubiquinone-dependent oxidoreductases
PBANKA_1428800,ubiquinone-dependent oxidoreductases
PBANKA_0404800,ubiquinone-dependent oxidoreductases
PBANKA_1450300,ATP synthase complex and assembly
PBANKA_0313800,ATP synthase complex and assembly
PBANKA_1409800,ATP synthase complex and assembly
PBANKA_0901400,ATP synthase complex and assembly
PBANKA_1408500,ATP synthase complex and assembly
PBANKA_1421800,ATP synthase complex and assembly
PBANKA_0803500,ATP synthase complex and assembly
PBANKA_0923200,ATP synthase complex and assembly
PBANKA_1305600,ATP synthase complex and assembly
PBANKA_0608200,ATP synthase complex and assembly
PBANKA_0509400,ATP synthase complex and assembly
PBANKA_0506700,TCA and BCKDH
PBANKA_1355200,TCA and BCKDH
PBANKA_0402300,TCA and BCKDH
PBANKA_1358600,TCA and BCKDH
PBANKA_1446900,TCA and BCKDH
PBANKA_1104200,TCA and BCKDH
PBANKA_1411100,TCA and BCKDH
PBANKA_1116300,TCA and BCKDH
PBANKA_0938500,TCA and BCKDH
PBANKA_0518200,TCA and BCKDH
PBANKA_0710100,TCA and BCKDH
PBANKA_1419100,TCA and BCKDH
PBANKA_1428800,TCA and BCKDH
PBANKA_0828100,TCA and BCKDH
PBANKA_1013200,TCA and BCKDH
PBANKA_0102100,nucleobase and nucleotide metabolism
PBANKA_0717600,nucleobase and nucleotide metabolism
PBANKA_0816000,NADH/NADPH metabolism
PBANKA_0814300,NADH/NADPH metabolism
PBANKA_0404800,NADH/NADPH metabolism
PBANKA_0108000,phospholipid metabolism
PBANKA_1339600,phospholipid metabolism
PBANKA_0201900,phospholipid metabolism
PBANKA_0211300,iron-sulfur cluster biogenesis
PBANKA_1318200,iron-sulfur cluster biogenesis
PBANKA_0831700,iron-sulfur cluster biogenesis
PBANKA_0304600,iron-sulfur cluster biogenesis
PBANKA_1216000,iron-sulfur cluster biogenesis
PBANKA_1137600,iron-sulfur cluster biogenesis
PBANKA_1430400,iron-sulfur cluster biogenesis
PBANKA_0909300,iron-sulfur cluster biogenesis
PBANKA_0914400,iron-sulfur cluster biogenesis
PBANKA_0923600,iron-sulfur cluster biogenesis
PBANKA_1409500,iron-sulfur cluster biogenesis
PBANKA_1219700,iron-sulfur cluster biogenesis
PBANKA_0821000,iron-sulfur cluster biogenesis
PBANKA_1022900,iron-sulfur cluster biogenesis
PBANKA_1315900,iron-sulfur cluster biogenesis
PBANKA_1364800,iron-sulfur cluster biogenesis
PBANKA_0203400,iron-sulfur cluster biogenesis
PBANKA_0507100,iron-sulfur cluster biogenesis
PBANKA_0718700,iron-sulfur cluster biogenesis
PBANKA_0401300,iron-sulfur cluster biogenesis
PBANKA_1459200,heme biosynthesis
PBANKA_1140700,heme biosynthesis
PBANKA_0512200,heme biosynthesis
PBANKA_0106100,ubiquinone biosynthesis
PBANKA_0300800,ubiquinone biosynthesis
PBANKA_0302700,ubiquinone biosynthesis
PBANKA_0935400,ubiquinone biosynthesis
PBANKA_0621800,ubiquinone biosynthesis
PBANKA_1427300,ubiquinone biosynthesis
PBANKA_1223200,ubiquinone biosynthesis
PBANKA_0601100,mitochondrial small molecule/ion transporters
PBANKA_0520200,mitochondrial small molecule/ion transporters
PBANKA_1354200,mitochondrial small molecule/ion transporters
PBANKA_1333600,mitochondrial small molecule/ion transporters
PBANKA_0706700,mitochondrial small molecule/ion transporters
PBANKA_0608300,mitochondrial small molecule/ion transporters
PBANKA_1364800,mitochondrial small molecule/ion transporters
PBANKA_1203100,mitochondrial small molecule/ion transporters
PBANKA_0416200,mitochondrial small molecule/ion transporters
PBANKA_1012800,mitochondrial small molecule/ion transporters
PBANKA_1455000,mitochondrial small molecule/ion transporters
PBANKA_1426400,mitochondrial small molecule/ion transporters
PBANKA_0927900,mitochondrial small molecule/ion transporters
PBANKA_1438700,mitochondrial small molecule/ion transporters
PBANKA_0205100,mitochondrial small molecule/ion transporters
PBANKA_0719400,mitochondrial small molecule/ion transporters
PBANKA_1005100,mitochondrial small molecule/ion transporters
PBANKA_0810000,mitochondrial small molecule/ion transporters
PBANKA_1144600,mitochondrial small molecule/ion transporters
PBANKA_1239500,mitochondrial protein import
PBANKA_0914400,mitochondrial protein import
PBANKA_0922900,mitochondrial protein import
PBANKA_0923600,mitochondrial protein import
PBANKA_1126100,mitochondrial protein import
PBANKA_0211000,mitochondrial protein import
PBANKA_1010100,mitochondrial protein import
PBANKA_1113200,mitochondrial protein import
PBANKA_0621900,mitochondrial protein import
PBANKA_1116500,mitochondrial protein import
PBANKA_1021800,mitochondrial protein import
PBANKA_1130300,mitochondrial protein import
PBANKA_1132500,mitochondrial protein import
PBANKA_1144500,mitochondrial protein import
PBANKA_1456300,mitochondrial protein import
PBANKA_1102600,mitochondrial protein import
PBANKA_0702300,mitochondrial protein import
PBANKA_0106950,mitochondrial protein import
PBANKA_1237900,mitochondrial protein import
PBANKA_0834400,mitochondrial protein import
PBANKA_1022900,mitochondrial protein import
PBANKA_1350800,mitochondrial protein import
PBANKA_1447700,mitochondrial translation
PBANKA_1410900,mitochondrial translation
