Gene,Ring1,Ring2,Tro1,Tro2,Sch1,Sch2,Gam1,Gam2,Ook1,Ook2
PBANKA_000010,4.0,2.9,3.4,5.7,1.2,2.3,5.9,1.8,0.5,0.5
PBANKA_000020,82.3,635.7,55.9,145.4,21.3,57.9,41.3,28.8,8.2,7.1
PBANKA_000030,4.6,10.6,5.9,5.4,3.0,0.5,31.3,18.9,2.4,1.2
PBANKA_000040,0.0,11.8,16.0,7.7,37.6,33.6,0.7,0.0,13.6,2.1
PBANKA_000050,2.9,9.4,4.7,6.2,0.8,2.3,15.1,13.6,1.0,1.2
PBANKA_000060,2.3,9.8,3.8,6.0,0.3,0.2,1.6,0.6,0.0,0.2
PBANKA_000070,0.2,8.8,2.6,3.6,1.2,2.2,2.1,0.0,1.4,1.3
PBANKA_000080,0.1,9.9,5.3,3.1,2.1,1.6,1.8,0.0,1.4,0.7
PBANKA_000090,0.0,6.3,4.6,3.7,1.7,1.5,31.8,0.3,0.0,0.3
PBANKA_000100,0.0,3.4,1.2,1.3,0.4,0.6,0.2,0.0,0.1,0.1
PBANKA_000110,4.8,19.8,8.7,3.5,3.5,1.8,4.1,0.4,0.0,0.9
PBANKA_000120,3.9,4.7,7.6,3.6,1.7,0.3,0.1,0.0,1.6,0.4
PBANKA_000130,0.0,1.6,1.6,1.2,6.1,6.4,0.5,0.5,0.1,0.3
PBANKA_000140,19.4,44.5,19.6,27.0,0.6,3.4,1.0,0.6,0.5,0.3
PBANKA_000150,488.1,0.0,1163.2,222.6,0.0,0.0,1107.4,1514.0,0.0,0.0
PBANKA_000160,3.4,40.2,15.5,12.9,118.0,71.0,2.0,1.1,9.0,7.8
PBANKA_000165,0.0,47.8,8.8,0.0,56.5,101.7,0.0,0.0,0.0,0.0
PBANKA_000170,6.1,6.5,1.6,2.0,0.3,0.3,1.7,1.5,0.5,0.4
PBANKA_000180,6.5,8.4,5.9,2.8,0.6,0.7,1.1,1.0,0.7,0.4
PBANKA_000190,3.2,6.7,2.0,3.3,0.8,0.8,11.2,5.2,1.0,0.3
PBANKA_000200,5.9,9.2,5.2,7.0,1.9,1.1,17.2,18.4,0.9,1.1
PBANKA_000210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PBANKA_000220,2.0,56.0,8.1,12.8,90.0,102.4,0.8,0.7,4.3,3.1
PBANKA_000230,0.0,77.6,45.1,51.7,13.2,14.1,17.0,0.0,5.5,7.5
PBANKA_000235,0.8,508.6,424.0,309.9,366.3,341.1,23.1,0.0,0.0,5.6
PBANKA_000240,0.8,0.6,1.8,0.7,2.9,0.3,7.5,6.6,0.1,0.2
PBANKA_000250,0.0,9.8,5.1,3.9,0.6,0.8,6.5,0.0,1.0,0.6
PBANKA_000260,0.0,1.9,0.5,0.7,0.0,0.0,0.6,0.0,0.4,0.3
PBANKA_000270,0.0,144.8,98.1,132.6,23.0,25.5,42.3,0.0,1.2,0.8
PBANKA_000280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PBANKA_000290,0.0,0.0,0.7,0.4,0.0,0.0,0.9,0.0,0.0,0.0
PBANKA_000300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PBANKA_000310,1.9,20.1,4.4,10.3,0.0,1.1,1.7,0.3,0.0,0.2
PBANKA_000320,5.4,3.6,3.0,3.5,0.3,0.2,48.6,43.5,0.0,0.7
PBANKA_000330,0.4,3.2,3.5,4.0,0.6,2.0,30.2,7.2,0.5,0.1
PBANKA_000340,8.4,20.6,14.7,12.3,2.2,1.9,4.2,3.2,1.5,0.9
PBANKA_000350,46.9,319.3,60.7,122.3,27.4,37.4,32.0,8.8,5.0,7.6
