gene,category
PBANKA_040060,Bir
PBANKA_080010,Bir
PBANKA_094390,Bir
PBANKA_104020,Bir
PBANKA_090030,Bir
PBANKA_124670,Bir
PBANKA_090020,Bir
PBANKA_090040,Bir
PBANKA_140010,Bir
PBANKA_140020,Bir
PBANKA_146550,Bir
PBANKA_000330,Bir
PBANKA_083655,Bir
PBANKA_031665,Bir
PBANKA_142670,Drug-associated
PBANKA_121950,Drug-associated
PBANKA_123780,Drug-associated
PBANKA_121660,Drug-associated
PBANKA_010210,Drug-associated
PBANKA_135670,Drug-associated
PBANKA_136290,Drug-associated
PBANKA_102980,Drug-associated
PBANKA_061040,Drug-associated
PBANKA_110940,Drug-associated
PBANKA_100820,Drug-associated
PBANKA_131480,Drug-associated
PBANKA_010010,Fam
PBANKA_083660,Fam
PBANKA_083680,Fam
PBANKA_050060,Fam
PBANKA_104030,Fam
PBANKA_110090,Fam
PBANKA_110100,Fam
PBANKA_124660,Fam
PBANKA_140040,Fam
PBANKA_083100,Merozoite surface
PBANKA_110220,Merozoite surface
PBANKA_134900,Merozoite surface
PBANKA_134910,Merozoite surface
PBANKA_134920,Merozoite surface
PBANKA_144330,Merozoite surface
PBANKA_011110,Merozoite surface
PBANKA_110760,Merozoite surface
PBANKA_100260,Merozoite surface
PBANKA_111960,Merozoite surface
PBANKA_030440,Merozoite surface
PBANKA_090130,Merozoite surface
PBANKA_051280,Microneme
PBANKA_070280,Microneme
PBANKA_122890,Microneme
PBANKA_041290,Microneme
PBANKA_030950,Microneme
PBANKA_041380,Microneme
PBANKA_041290,Microneme
PBANKA_070190,Microneme
PBANKA_081300,Microneme
PBANKA_082420,Microneme
PBANKA_091170,Microneme
PBANKA_091500,Microneme
PBANKA_093350,Microneme
PBANKA_100630,Microneme
PBANKA_103780,Microneme
PBANKA_121510,Microneme
PBANKA_131270,Microneme
PBANKA_134980,Microneme
PBANKA_135560,Microneme
PBANKA_143230,Microneme
PBANKA_021520,Microneme
PBANKA_093450,Microneme
PBANKA_080050,Microneme
PBANKA_133270,Microneme
PBANKA_010220,Other exported
PBANKA_021460,Other exported
PBANKA_041850,Other exported
PBANKA_052480,Other exported
PBANKA_120060,Other exported
PBANKA_120710,Other exported
PBANKA_101935,Other exported
PBANKA_0216721,Other exported
PBANKA_100030,Other exported
PBANKA_136550,Other exported
PBANKA_010020,Other exported
PBANKA_140070,Other exported
PBANKA_070070,Other exported
PBANKA_132200,Other exported
PBANKA_083640,Other exported
PBANKA_122900,Other exported
PBANKA_070060,Other exported
PBANKA_114540,Other exported
PBANKA_124590,Other exported
PBANKA_110120,Other exported
PBANKA_010060,Other exported
PBANKA_021470,Other exported
PBANKA_070330,Other exported
PBANKA_110110,Other exported
PBANKA_021550,Other exported
PBANKA_120520,Other exported
PBANKA_080640,Other exported
PBANKA_030060,Other exported
PBANKA_110690,Other exported
PBANKA_070110,Other exported
PBANKA_072150,Other exported
PBANKA_114580,Other exported
PBANKA_114590,Other exported
PBANKA_110130,Other exported
PBANKA_093120,PTEX
PBANKA_135800,PTEX
PBANKA_100850,PTEX
PBANKA_094130,PTEX
PBANKA_133430,PTEX
PBANKA_050100,Rhoptry
PBANKA_100010,Rhoptry
PBANKA_031660,Rhoptry
PBANKA_010040,Rhoptry
PBANKA_011160,Rhoptry
PBANKA_041600,Rhoptry
PBANKA_061970,Rhoptry
PBANKA_071310,Rhoptry
PBANKA_080450,Rhoptry
PBANKA_083020,Rhoptry
PBANKA_093200,Rhoptry
PBANKA_103210,Rhoptry
PBANKA_110140,Rhoptry
PBANKA_114230,Rhoptry
PBANKA_133030,Rhoptry
PBANKA_050140,Rhoptry
PBANKA_052380,Rhoptry
PBANKA_072180,Rhoptry
PBANKA_011000,Ribosomal
PBANKA_021350,Ribosomal
PBANKA_030570,Ribosomal
PBANKA_031110,Ribosomal
PBANKA_031560,Ribosomal
PBANKA_031580,Ribosomal
PBANKA_040530,Ribosomal
PBANKA_040540,Ribosomal
PBANKA_040770,Ribosomal
PBANKA_040810,Ribosomal
PBANKA_041330,Ribosomal
PBANKA_041390,Ribosomal
PBANKA_041750,Ribosomal
PBANKA_050360,Ribosomal
PBANKA_051090,Ribosomal
PBANKA_051130,Ribosomal
PBANKA_052180,Ribosomal
PBANKA_060840,Ribosomal
PBANKA_061000,Ribosomal
PBANKA_061340,Ribosomal
PBANKA_061600,Ribosomal
PBANKA_070320,Ribosomal
PBANKA_070910,Ribosomal
PBANKA_071480,Ribosomal
PBANKA_071780,Ribosomal
PBANKA_080400,Ribosomal
PBANKA_080510,Ribosomal
PBANKA_080920,Ribosomal
PBANKA_081920,Ribosomal
PBANKA_090500,Ribosomal
PBANKA_090640,Ribosomal
PBANKA_091120,Ribosomal
PBANKA_091160,Ribosomal
PBANKA_093700,Ribosomal
PBANKA_094080,Ribosomal
PBANKA_094360,Ribosomal
PBANKA_100810,Ribosomal
PBANKA_101310,Ribosomal
PBANKA_101350,Ribosomal
PBANKA_101370,Ribosomal
PBANKA_101500,Ribosomal
PBANKA_101560,Ribosomal
PBANKA_103390,Ribosomal
PBANKA_103640,Ribosomal
PBANKA_103940,Ribosomal
PBANKA_110340,Ribosomal
PBANKA_112930,Ribosomal
PBANKA_113510,Ribosomal
PBANKA_113930,Ribosomal
PBANKA_120160,Ribosomal
PBANKA_120240,Ribosomal
PBANKA_120840,Ribosomal
PBANKA_122150,Ribosomal
PBANKA_123100,Ribosomal
PBANKA_123180,Ribosomal
PBANKA_123390,Ribosomal
PBANKA_123420,Ribosomal
PBANKA_123720,Ribosomal
PBANKA_124340,Ribosomal
