"","initmolecules","normalisedvar"
"1",1,0.110919946937815
"2",2,0.0554337329250366
"3",3,0.039032722645027
"4",4,0.0256243269837073
"5",5,0.022064209741181
"6",6,0.0193803533063205
"7",8,0.0130450115949395
"8",11,0.00984107405412689
"9",14,0.00822723832851758
"10",18,0.00574216182591233
"11",23,0.00488140697000037
"12",30,0.00387274431011659
"13",39,0.0029292536910044
"14",51,0.00222666838220363
"15",67,0.00166918342590056
"16",87,0.00127202048505188
"17",112,0.0010754619927479
"18",146,0.000747912158894226
"19",190,0.000612614388717324
"20",247,0.000462865537964438
"21",321,0.00034435818701897
"22",418,0.000251344900323316
"23",543,0.000191965728413486
"24",706,0.000151304650702567
"25",917,0.000128451771484144
"26",1193,9.91563966468017e-05
"27",1550,6.75631725537328e-05
"28",2015,5.26051581089639e-05
