gene	targetability
PF3D7_0106700	R
PF3D7_0106900	R
PF3D7_0113700	R
PF3D7_0113900	R
PF3D7_0204700	R
PF3D7_0206200	R
PF3D7_0206800	R
PF3D7_0207000	R
PF3D7_0207500	R
PF3D7_0207600	R
PF3D7_0211700	R
PF3D7_0212100	R
PF3D7_0214800	R
PF3D7_0214900	R
PF3D7_0217500	R
PF3D7_0302100	R
PF3D7_0309200	R
PF3D7_0310100	R
PF3D7_0312400	R
PF3D7_0316000	R
PF3D7_0317200	R
PF3D7_0323400	R
PF3D7_0401800	R
PF3D7_0402100	R
PF3D7_0404700	R
PF3D7_0405200	R
PF3D7_0415300	R
PF3D7_0416800	R
PF3D7_0417800	R
PF3D7_0423800	R
PF3D7_0424100	R
PF3D7_0507500	R
PF3D7_0508100	R
PF3D7_0512200	R
PF3D7_0523000	R
PF3D7_0528400	R
PF3D7_0603400	R
PF3D7_0604100	R
PF3D7_0605300	R
PF3D7_0610600	R
PF3D7_0616800	R
PF3D7_0620400	R
PF3D7_0628200	R
PF3D7_0701900	R
PF3D7_0707300	R
PF3D7_0708800	R
PF3D7_0709000	R
PF3D7_0718100	R
PF3D7_0722200	R
PF3D7_0725300	R
PF3D7_0727100	R
PF3D7_0802100	R
PF3D7_0808200	R
PF3D7_0810800	R
PF3D7_0822500	R
PF3D7_0828800	R
PF3D7_0905400	R
PF3D7_0918900	R
PF3D7_0923800	R
PF3D7_0927300	R
PF3D7_0929400	R
PF3D7_0930300	R
PF3D7_0934800	R
PF3D7_0936800	R
PF3D7_1001900	R
PF3D7_1008000	R
PF3D7_1010600	R
PF3D7_1014400	R
PF3D7_1016900	R
PF3D7_1021800	R
PF3D7_1027300	R
PF3D7_1031400	R
PF3D7_1035200	R
PF3D7_1102200	R
PF3D7_1108400	R
PF3D7_1113900	R
PF3D7_1114700	R
PF3D7_1115400	R
PF3D7_1116700	R
PF3D7_1118600	R
PF3D7_1118700	R
PF3D7_1121000	R
PF3D7_1121600	R
PF3D7_1121900	R
PF3D7_1133400	R
PF3D7_1136500	R
PF3D7_1136900	R
PF3D7_1138400	R
PF3D7_1138500	R
PF3D7_1143200	R
PF3D7_1145200	R
PF3D7_1148000	R
PF3D7_1149200	R
PF3D7_1203700	R
PF3D7_1212500	R
PF3D7_1220900	R
PF3D7_1221000	R
PF3D7_1227200	R
PF3D7_1228300	R
PF3D7_1233600	R
PF3D7_1235700	R
PF3D7_1238900	R
PF3D7_1246900	R
PF3D7_1301200	R
PF3D7_1301700	R
PF3D7_1311300	R
PF3D7_1314600	R
PF3D7_1315100	R
PF3D7_1316000	R
PF3D7_1321400	R
PF3D7_1323500	R
PF3D7_1337100	R
PF3D7_1337800	R
PF3D7_1349300	R
PF3D7_1353200	R
PF3D7_1356800	R
PF3D7_1356900	R
PF3D7_1360800	R
PF3D7_1362400	R
PF3D7_1406300	R
PF3D7_1417000	R
PF3D7_1417200	R
PF3D7_1420700	R
PF3D7_1422500	R
PF3D7_1436600	R
PF3D7_1437800	R
PF3D7_1443000	R
PF3D7_1443400	R
PF3D7_1445400	R
PF3D7_1446800	R
PF3D7_1453800	R
PF3D7_1454300	R
