gene,lc,ac,ko
PBANKA_000010,no,no,no
PBANKA_000030,yes,no,no
PBANKA_000040,yes,no,no
PBANKA_000050,yes,no,no
PBANKA_000060,yes,no,no
PBANKA_000070,no,no,no
PBANKA_000080,no,no,no
PBANKA_000090,no,no,no
PBANKA_000100,yes,no,no
PBANKA_000110,no,yes,no
PBANKA_000130,yes,yes,no
PBANKA_000150,no,no,no
PBANKA_000160,yes,no,no
PBANKA_000165,yes,no,no
PBANKA_000170,no,yes,no
PBANKA_000180,no,yes,no
PBANKA_000190,no,no,no
PBANKA_000200,yes,no,no
PBANKA_000210,no,no,no
PBANKA_000220,yes,no,no
PBANKA_000230,yes,no,no
PBANKA_000235,yes,no,no
PBANKA_000240,yes,no,no
PBANKA_000250,yes,no,no
PBANKA_000260,yes,no,no
PBANKA_000270,yes,no,no
PBANKA_000280,yes,no,no
PBANKA_000290,yes,no,no
PBANKA_000300,yes,no,no
PBANKA_000310,yes,no,no
PBANKA_000320,yes,yes,no
PBANKA_000330,yes,yes,yes
PBANKA_000340,yes,yes,no
PBANKA_000360,no,no,no
PBANKA_000370,yes,no,no
PBANKA_000378,yes,no,no
PBANKA_000380,yes,yes,no
PBANKA_000390,yes,no,no
PBANKA_000400,no,no,no
PBANKA_000410,no,no,no
PBANKA_000420,no,no,no
PBANKA_000430,no,no,no
PBANKA_000440,yes,no,no
PBANKA_000450,no,no,no
PBANKA_000460,no,no,no
PBANKA_000480,yes,no,no
PBANKA_000490,yes,no,no
PBANKA_000500,yes,no,no
PBANKA_000510,no,no,no
PBANKA_000520,no,no,no
PBANKA_000530,no,no,no
PBANKA_000540,yes,yes,no
PBANKA_000550,no,yes,no
PBANKA_000560,yes,no,no
PBANKA_000570,no,no,no
PBANKA_000580,no,no,no
PBANKA_000600,no,no,no
PBANKA_000630,yes,yes,no
PBANKA_000640,no,no,no
PBANKA_000880,no,no,no
PBANKA_001030,no,no,no
PBANKA_010005,no,yes,no
PBANKA_010010,yes,yes,yes
PBANKA_010020,yes,yes,no
PBANKA_010040,yes,yes,yes
PBANKA_010050,yes,no,no
PBANKA_010060,yes,yes,no
PBANKA_010070,yes,yes,no
PBANKA_010080,yes,yes,yes
PBANKA_010090,yes,no,yes
PBANKA_010100,yes,yes,no
PBANKA_010110,yes,yes,yes
PBANKA_010120,yes,no,yes
PBANKA_010130,yes,yes,yes
PBANKA_010140,yes,no,no
PBANKA_010150,yes,yes,yes
PBANKA_010160,yes,yes,yes
PBANKA_010170,yes,yes,no
PBANKA_010180,yes,yes,no
PBANKA_010190,yes,yes,yes
PBANKA_010200,yes,yes,yes
PBANKA_010210,yes,yes,yes
PBANKA_010220,yes,yes,yes
PBANKA_010230,yes,yes,yes
PBANKA_010240,yes,no,yes
PBANKA_010250,yes,yes,no
PBANKA_010260,yes,no,yes
PBANKA_010270,yes,yes,no
PBANKA_010280,yes,yes,no
PBANKA_010290,yes,no,yes
PBANKA_010300,no,yes,no
PBANKA_010310,yes,no,no
PBANKA_010320,yes,no,no
PBANKA_010330,yes,yes,yes
PBANKA_010340,yes,no,no
PBANKA_010350,yes,yes,no
PBANKA_010360,yes,yes,no
PBANKA_010370,yes,yes,no
PBANKA_010380,yes,yes,no
PBANKA_010390,yes,yes,no
PBANKA_010400,yes,yes,yes
PBANKA_010410,yes,no,no
PBANKA_010420,yes,no,no
PBANKA_010430,yes,no,yes
PBANKA_010440,yes,yes,no
PBANKA_010450,yes,yes,yes
PBANKA_010460,yes,no,yes
PBANKA_010470,yes,yes,yes
PBANKA_010480,yes,yes,yes
PBANKA_010490,yes,yes,yes
PBANKA_010500,yes,yes,no
PBANKA_010510,yes,yes,yes
PBANKA_010520,yes,yes,yes
PBANKA_010530,yes,no,yes
PBANKA_010540,yes,yes,yes
PBANKA_010550,yes,yes,yes
PBANKA_010560,yes,yes,yes
PBANKA_010570,yes,yes,yes
PBANKA_010580,yes,yes,yes
PBANKA_010590,yes,yes,yes
PBANKA_010600,yes,no,yes
PBANKA_010610,yes,no,yes
PBANKA_010620,yes,no,yes
PBANKA_010630,yes,yes,yes
PBANKA_010640,yes,yes,yes
PBANKA_010650,yes,yes,no
PBANKA_010660,yes,yes,yes
PBANKA_010670,yes,yes,yes
PBANKA_010680,yes,yes,no
PBANKA_010690,yes,yes,yes
PBANKA_010700,yes,yes,yes
PBANKA_010710,yes,yes,no
PBANKA_010720,yes,yes,yes
PBANKA_010730,yes,yes,yes
PBANKA_010740,yes,yes,yes
PBANKA_010750,yes,yes,no
PBANKA_010760,yes,no,no
PBANKA_010770,yes,no,yes
PBANKA_010780,yes,yes,yes
PBANKA_010790,yes,yes,yes
PBANKA_010800,yes,yes,no
PBANKA_010810,yes,yes,no
PBANKA_010820,yes,yes,yes
PBANKA_010830,yes,yes,yes
PBANKA_010840,yes,yes,no
PBANKA_010850,yes,yes,no
PBANKA_010860,yes,yes,no
PBANKA_010870,yes,yes,yes
PBANKA_010880,yes,yes,yes
PBANKA_010890,yes,yes,yes
PBANKA_010900,yes,yes,no
PBANKA_010910,yes,yes,yes
PBANKA_010920,yes,yes,yes
PBANKA_010930,yes,yes,no
PBANKA_010940,yes,yes,yes
PBANKA_010950,yes,yes,yes
PBANKA_010960,yes,yes,yes
PBANKA_010970,yes,yes,yes
PBANKA_010980,yes,yes,no
PBANKA_010990,yes,no,no
PBANKA_011000,yes,yes,yes
PBANKA_011010,yes,no,yes
PBANKA_011020,yes,yes,no
PBANKA_011030,yes,yes,yes
PBANKA_011040,yes,yes,yes
PBANKA_011050,yes,no,no
PBANKA_011060,yes,yes,no
PBANKA_011070,yes,yes,no
PBANKA_011080,yes,yes,no
PBANKA_011090,yes,yes,no
PBANKA_011100,yes,yes,no
PBANKA_011110,yes,yes,yes
PBANKA_011120,yes,yes,yes
PBANKA_011130,yes,yes,yes
PBANKA_011140,yes,yes,no
PBANKA_011150,yes,yes,no
PBANKA_011160,yes,yes,yes
PBANKA_011170,no,yes,no
PBANKA_011180,yes,yes,yes
PBANKA_011190,no,yes,no
PBANKA_011200,no,yes,no
PBANKA_011210,yes,no,yes
PBANKA_011220,yes,no,no
PBANKA_011230,yes,yes,no
PBANKA_011240,yes,yes,no
PBANKA_011250,yes,yes,yes
PBANKA_011260,yes,yes,no
PBANKA_020010,yes,no,yes
PBANKA_020020,yes,yes,yes
PBANKA_020030,yes,yes,no
PBANKA_020040,yes,no,no
PBANKA_020060,no,yes,no
PBANKA_020065,yes,yes,no
PBANKA_020070,yes,no,yes
PBANKA_020080,yes,no,no
PBANKA_020090,yes,no,no
PBANKA_020100,no,no,no
PBANKA_020130,yes,yes,no
PBANKA_020134,yes,yes,yes
PBANKA_020150,yes,no,no
PBANKA_020160,yes,no,yes
PBANKA_020170,yes,yes,no
PBANKA_020180,yes,yes,no
PBANKA_020190,no,yes,no
PBANKA_020200,no,yes,no
PBANKA_020210,yes,yes,no
PBANKA_020220,yes,yes,no
PBANKA_020230,yes,yes,yes
PBANKA_020240,yes,yes,no
PBANKA_020250,yes,no,yes
PBANKA_020260,yes,yes,yes
PBANKA_020270,yes,no,yes
PBANKA_020280,yes,yes,no
PBANKA_020290,yes,yes,yes
PBANKA_020300,yes,yes,yes
PBANKA_020310,yes,yes,yes
PBANKA_020320,yes,no,no
PBANKA_020330,yes,yes,yes
PBANKA_020340,yes,yes,yes
PBANKA_020350,yes,yes,yes
PBANKA_020360,yes,yes,no
PBANKA_020370,yes,yes,yes
