gene	Yes	No	Phenotype	RMGMpheno
PBANKA_010060	5	0	5	Phenotype
PBANKA_010110	1	0	0	Viable
PBANKA_010210	0	1	0	Non-targetable
PBANKA_010230	2	0	0	Viable
PBANKA_010410	0	1	0	Non-targetable
PBANKA_010620	2	0	0	Viable
PBANKA_010770	1	0	1	Phenotype
PBANKA_010830	0	1	0	Non-targetable
PBANKA_011250	1	0	0	Viable
PBANKA_020180	1	0	1	Phenotype
PBANKA_020310	0	1	0	Non-targetable
PBANKA_020450	1	0	0	Viable
PBANKA_020480	0	1	0	Non-targetable
PBANKA_020500	0	1	0	Non-targetable
PBANKA_020580	2	0	0	Viable
PBANKA_020700	0	1	0	Non-targetable
PBANKA_020800	1	0	0	Viable
PBANKA_020830	3	0	0	Viable
PBANKA_020840	1	0	0	Viable
PBANKA_020890	0	1	0	Non-targetable
PBANKA_020900	0	1	0	Non-targetable
PBANKA_020910	1	0	0	Viable
PBANKA_020920	1	0	0	Viable
PBANKA_020930	0	1	0	Non-targetable
PBANKA_020990	1	0	0	Viable
PBANKA_021100	0	1	0	Non-targetable
PBANKA_021140	1	0	0	Viable
PBANKA_021440	1	0	0	Viable
PBANKA_021480	0	1	0	Non-targetable
PBANKA_021550	1	0	0	Viable
PBANKA_030100	1	0	0	Viable
PBANKA_030230	0	1	0	Non-targetable
PBANKA_030250	0	1	0	Non-targetable
PBANKA_030380	0	1	0	Non-targetable
PBANKA_030390	1	0	0	Viable
PBANKA_030470	1	0	0	Viable
PBANKA_030500	2	0	0	Viable
PBANKA_030510	2	0	0	Viable
PBANKA_030590	1	0	0	Viable
PBANKA_030600	2	0	0	Viable
PBANKA_030610	1	0	0	Viable
PBANKA_030800	0	1	0	Non-targetable
PBANKA_030850	0	1	0	Non-targetable
PBANKA_030970	1	0	0	Viable
PBANKA_031030	1	0	0	Viable
PBANKA_031140	0	1	0	Non-targetable
PBANKA_031260	1	0	1	Phenotype
PBANKA_031420	2	1	0	Viable
PBANKA_031660	1	0	0	Viable
PBANKA_040110	1	0	1	Phenotype
PBANKA_040120	0	1	0	Non-targetable
PBANKA_040150	1	0	0	Viable
PBANKA_040220	1	0	0	Viable
PBANKA_040260	1	0	0	Viable
PBANKA_040270	0	1	0	Non-targetable
PBANKA_040320	1	0	0	Viable
PBANKA_040380	0	1	0	Non-targetable
PBANKA_040620	0	1	0	Non-targetable
PBANKA_040720	0	1	0	Non-targetable
PBANKA_040740	0	1	0	Non-targetable
PBANKA_040760	1	0	1	Phenotype
PBANKA_040770	0	1	0	Non-targetable
PBANKA_040820	4	0	0	Viable
PBANKA_040850	0	1	0	Non-targetable
PBANKA_040940	2	0	0	Viable
PBANKA_040970	2	0	0	Viable
PBANKA_041040	1	1	0	Viable
PBANKA_041050	1	0	0	Viable
PBANKA_041090	0	1	0	Non-targetable
PBANKA_041210	0	1	0	Non-targetable
PBANKA_041290	2	0	0	Viable
PBANKA_041480	1	0	1	Phenotype
PBANKA_041650	1	0	1	Phenotype
PBANKA_041670	0	1	0	Non-targetable
PBANKA_041710	1	0	0	Viable
PBANKA_041720	2	0	0	Viable
PBANKA_041760	2	0	0	Viable
PBANKA_041770	0	1	0	Non-targetable
PBANKA_050110	0	1	0	Non-targetable
PBANKA_050120	2	0	0	Viable
PBANKA_050140	1	0	1	Phenotype
PBANKA_050250	0	1	0	Non-targetable
PBANKA_050260	0	1	0	Non-targetable
PBANKA_050650	1	0	0	Viable
PBANKA_050740	2	0	2	Phenotype
PBANKA_050800	1	0	0	Viable
PBANKA_050810	0	1	0	Non-targetable
PBANKA_050950	0	1	0	Non-targetable
PBANKA_051060	1	0	0	Viable
PBANKA_051200	1	0	1	Phenotype
PBANKA_051490	2	0	0	Viable
PBANKA_051500	2	0	0	Viable
PBANKA_051700	1	0	0	Viable
PBANKA_051760	2	0	0	Viable
PBANKA_051820	1	0	0	Viable
PBANKA_051900	1	0	0	Viable
PBANKA_051930	1	0	0	Viable
PBANKA_052040	0	1	0	Non-targetable
PBANKA_052060	0	1	0	Non-targetable
PBANKA_052140	0	1	0	Non-targetable
PBANKA_052270	0	1	0	Non-targetable
PBANKA_052420	0	1	0	Non-targetable
PBANKA_052430	2	0	0	Viable
PBANKA_052440	1	0	0	Viable
PBANKA_052460	0	1	0	Non-targetable
PBANKA_052480	2	0	0	Viable
PBANKA_060060	0	1	0	Non-targetable
PBANKA_060240	1	0	0	Viable
PBANKA_060390	1	0	0	Viable
PBANKA_060470	1	0	0	Viable
PBANKA_060670	1	0	0	Viable
PBANKA_060830	0	1	0	Non-targetable
PBANKA_061060	0	1	0	Non-targetable
PBANKA_061430	0	1	0	Non-targetable
PBANKA_061460	0	1	0	Non-targetable
PBANKA_061520	1	0	0	Viable
PBANKA_061580	0	1	0	Non-targetable
PBANKA_061590	1	0	0	Viable
PBANKA_061670	3	0	0	Viable
PBANKA_061860	0	1	0	Non-targetable
PBANKA_061920	1	0	0	Viable
PBANKA_062150	0	1	0	Non-targetable
PBANKA_062310	0	1	0	Non-targetable
PBANKA_070060	0	1	0	Non-targetable
PBANKA_070070	1	0	0	Viable
PBANKA_070100	1	0	0	Viable
PBANKA_070110	1	0	0	Viable
PBANKA_070190	2	0	0	Viable
PBANKA_070270	1	0	0	Viable
PBANKA_070620	1	0	0	Viable
PBANKA_070700	1	0	0	Viable
PBANKA_070710	1	0	0	Viable
PBANKA_070970	1	0	0	Viable
PBANKA_071060	0	1	0	Non-targetable
PBANKA_071140	1	0	0	Viable
PBANKA_071160	1	0	0	Viable
PBANKA_071220	1	0	0	Viable
PBANKA_071290	1	0	1	Phenotype
PBANKA_071400	1	0	0	Viable
PBANKA_071430	2	0	0	Viable
PBANKA_071550	0	1	0	Non-targetable
PBANKA_071640	1	0	0	Viable
PBANKA_071730	0	1	0	Non-targetable
PBANKA_071810	0	1	0	Non-targetable
PBANKA_071920	4	0	0	Viable
PBANKA_071990	0	2	0	Non-targetable
