gene,category
PBANKA_010080,unknownfunction
PBANKA_010150,unknownfunction
PBANKA_010160,unknownfunction
PBANKA_010190,unknownfunction
PBANKA_010240,unknownfunction
PBANKA_010330,unknownfunction
PBANKA_010400,unknownfunction
PBANKA_010450,unknownfunction
PBANKA_010480,unknownfunction
PBANKA_010510,unknownfunction
PBANKA_010530,unknownfunction
PBANKA_010630,unknownfunction
PBANKA_010670,unknownfunction
PBANKA_010690,unknownfunction
PBANKA_010700,unknownfunction
PBANKA_010720,unknownfunction
PBANKA_010790,unknownfunction
PBANKA_010820,unknownfunction
PBANKA_010960,unknownfunction
PBANKA_011010,unknownfunction
PBANKA_011030,unknownfunction
PBANKA_011130,unknownfunction
PBANKA_020260,unknownfunction
PBANKA_020370,unknownfunction
PBANKA_020390,unknownfunction
PBANKA_020530,unknownfunction
PBANKA_020620,unknownfunction
PBANKA_020670,unknownfunction
PBANKA_020680,unknownfunction
PBANKA_020710,unknownfunction
PBANKA_020730,unknownfunction
PBANKA_020750,unknownfunction
PBANKA_020780,unknownfunction
PBANKA_020790,unknownfunction
PBANKA_020850,unknownfunction
PBANKA_020900,unknownfunction
PBANKA_020960,unknownfunction
PBANKA_021030,unknownfunction
PBANKA_021070,unknownfunction
PBANKA_021120,unknownfunction
PBANKA_021160,unknownfunction
PBANKA_021180,unknownfunction
PBANKA_021200,unknownfunction
PBANKA_021220,unknownfunction
PBANKA_021240,unknownfunction
PBANKA_021290,unknownfunction
PBANKA_021450,unknownfunction
PBANKA_021460,unknownfunction
PBANKA_030060,unknownfunction
PBANKA_030070,unknownfunction
PBANKA_030110,unknownfunction
PBANKA_030140,unknownfunction
PBANKA_030180,unknownfunction
PBANKA_030200,unknownfunction
PBANKA_030210,unknownfunction
PBANKA_030240,unknownfunction
PBANKA_030450,unknownfunction
PBANKA_030540,unknownfunction
PBANKA_030580,unknownfunction
PBANKA_030650,unknownfunction
PBANKA_030660,unknownfunction
PBANKA_030770,unknownfunction
PBANKA_030780,unknownfunction
PBANKA_030890,unknownfunction
PBANKA_030920,unknownfunction
PBANKA_030940,unknownfunction
PBANKA_031050,unknownfunction
PBANKA_031120,unknownfunction
PBANKA_031130,unknownfunction
