PbID	Yeastpheno
PBANKA_080350	#N/A
PBANKA_101380	#N/A
PBANKA_081420	inviable 
PBANKA_141820	viable 
PBANKA_123430	viable 
PBANKA_030150	inviable 
PBANKA_031540	inviable 
PBANKA_010560	viable 
PBANKA_123920	viable 
PBANKA_091550	viable 
PBANKA_030380	#N/A
PBANKA_100720	inviable 
PBANKA_144300	viable 
PBANKA_142850	viable 
PBANKA_141160	viable 
PBANKA_040410	viable 
PBANKA_090260	viable 
PBANKA_102780	viable 
PBANKA_102490	inviable 
PBANKA_080190	viable 
PBANKA_123510	inviable 
PBANKA_132690	inviable 
PBANKA_082060	viable 
PBANKA_111660	viable 
PBANKA_103770	competitive fitness: decreased 
PBANKA_113020	inviable 
PBANKA_123310	inviable 
PBANKA_082640	viable 
PBANKA_110860	inviable 
PBANKA_020180	viable 
PBANKA_100480	viable 
PBANKA_122240	viable 
PBANKA_080770	viable 
PBANKA_143340	#N/A
PBANKA_050410	viable 
PBANKA_112750	viable 
PBANKA_101020	viable 
PBANKA_041750	inviable 
PBANKA_031380	viable 
PBANKA_133720	viable 
PBANKA_030080	viable 
PBANKA_146030	inviable 
PBANKA_041410	inviable 
PBANKA_112640	viable 
PBANKA_061990	viable 
PBANKA_103260	inviable 
PBANKA_101840	viable 
PBANKA_140980	viable 
PBANKA_093740	inviable 
PBANKA_071590	viable 
PBANKA_080300	inviable 
PBANKA_080980	viable 
PBANKA_146110	viable 
PBANKA_030840	inviable 
PBANKA_142870	inviable 
PBANKA_040160	inviable 
PBANKA_093650	inviable 
PBANKA_113790	inviable 
PBANKA_101060	inviable 
PBANKA_146370	viable 
PBANKA_100380	viable 
PBANKA_113710	viable 
PBANKA_130900	inviable 
PBANKA_030910	inviable 
PBANKA_102930	viable 
PBANKA_070580	viable 
PBANKA_114060	inviable 
PBANKA_052240	viable 
PBANKA_051850	competitive fitness: decreased 
PBANKA_110730	viable 
PBANKA_090950	viable 
PBANKA_100880	inviable 
PBANKA_080310	inviable 
PBANKA_133320	viable 
PBANKA_051980	viable 
PBANKA_131010	viable 
PBANKA_111870	viable 
PBANKA_080270	inviable 
PBANKA_110830	inviable 
PBANKA_030250	viable 
PBANKA_121730	inviable 
PBANKA_010660	viable 
PBANKA_093780	inviable 
PBANKA_092130	inviable 
PBANKA_134710	inviable 
PBANKA_112660	inviable 
PBANKA_100710	inviable 
PBANKA_135430	viable 
PBANKA_041830	viable 
PBANKA_071060	inviable 
PBANKA_061940	#N/A
PBANKA_021130	inviable 
