TgID,PfID,PbID,toxophenotype
TGGT1_261490,#N/A,#N/A,-6.89
TGGT1_316110,PF3D7_1106100,PBANKA_0940800,-6.71
TGGT1_310290,PF3D7_0403100,PBANKA_1000700,-6.7
TGGT1_210360,PF3D7_0527900,PBANKA_1242500,-6.63
TGGT1_232430,#N/A,#N/A,-6.52
TGGT1_226660,#N/A,#N/A,-6.49
TGGT1_278500,#N/A,#N/A,-6.38
TGGT1_273870,#N/A,#N/A,-6.34
TGGT1_251880,PF3D7_0807900,PBANKA_1222800,-6.31
TGGT1_249950,PF3D7_0203700,PBANKA_0301500,-6.31
TGGT1_215060,PF3D7_0416800,PBANKA_0718800,-6.29
TGGT1_231170,PF3D7_0509100,PBANKA_1108700,-6.28
TGGT1_238000,PF3D7_1202400,PBANKA_0601300,-6.27
TGGT1_277940,#N/A,#N/A,-6.24
TGGT1_288930,#N/A,#N/A,-6.23
TGGT1_266030,PF3D7_1132600,PBANKA_0915800,-6.21
TGGT1_293630,#N/A,#N/A,-6.17
TGGT1_319580,#N/A,#N/A,-6.11
TGGT1_280610,PF3D7_1366600,PBANKA_1142500,-6.1
TGGT1_235478,#N/A,#N/A,-6.07
TGGT1_264760,PF3D7_1131800,PBANKA_0916600,-6.07
TGGT1_230500,#N/A,#N/A,-6.05
TGGT1_202370,PF3D7_0320300,PBANKA_1218200,-6.05
TGGT1_229250A,#N/A,#N/A,-6.04
TGGT1_227420,PF3D7_0104400,PBANKA_0208700,-6.01
TGGT1_273090,#N/A,#N/A,-6.01
TGGT1_310750,PF3D7_0422100,PBANKA_0522500,-6.01
TGGT1_221950,PF3D7_0924700,PBANKA_0825600,-6
TGGT1_237560,PF3D7_1454500,PBANKA_1318200,-5.99
TGGT1_214270,PF3D7_0607000,PBANKA_0105600,-5.99
TGGT1_297500,PF3D7_0308200,PBANKA_0406500,-5.99
TGGT1_224510,#N/A,#N/A,-5.98
TGGT1_246060,PF3D7_1125300,PBANKA_0923000,-5.97
TGGT1_310490,PF3D7_0618300,PBANKA_1117500,-5.95
TGGT1_207980,PF3D7_0935300,PBANKA_0836100,-5.95
TGGT1_253890,#N/A,#N/A,-5.93
TGGT1_250830,PF3D7_0312300,PBANKA_0410300,-5.91
TGGT1_227360,PF3D7_1027800,PBANKA_0511900,-5.9
TGGT1_246190,#N/A,#N/A,-5.89
TGGT1_313430,#N/A,#N/A,-5.87
TGGT1_242625,PF3D7_1434500,PBANKA_1010300,-5.86
TGGT1_205540,PF3D7_1419100,PBANKA_1024100,-5.86
TGGT1_225360,PF3D7_0725300,PBANKA_0622800,-5.85
TGGT1_216630,#N/A,#N/A,-5.84
TGGT1_230490,#N/A,#N/A,-5.81
TGGT1_215230,PF3D7_0728900,PBANKA_0213000,-5.81
TGGT1_241850,#N/A,#N/A,-5.8
TGGT1_314920,#N/A,#N/A,-5.8
TGGT1_205180,PF3D7_1367100,PBANKA_1143000,-5.79
TGGT1_261680,#N/A,#N/A,-5.79
TGGT1_300280,#N/A,#N/A,-5.79
TGGT1_263090,PF3D7_0818200,PBANKA_0712600,-5.79
TGGT1_240590,PF3D7_1364800,PBANKA_1140600,-5.78
TGGT1_287210,PF3D7_0608500,PBANKA_0107100,-5.77
TGGT1_231080,PF3D7_1130100,PBANKA_0918100,-5.77
TGGT1_320210,PF3D7_0308600,PBANKA_0406800,-5.76
TGGT1_320220,PF3D7_1439400,PBANKA_1303300,-5.76
TGGT1_233820,PF3D7_0308000,PBANKA_0406300,-5.76
TGGT1_207770,PF3D7_1030500,PBANKA_0514500,-5.75
TGGT1_225130,#N/A,#N/A,-5.75
TGGT1_270880,PF3D7_0416000,PBANKA_0717900,-5.73
TGGT1_313130,#N/A,#N/A,-5.73
TGGT1_267700,#N/A,#N/A,-5.73
TGGT1_297245,#N/A,#N/A,-5.71
TGGT1_294060,#N/A,#N/A,-5.7
TGGT1_312650,PF3D7_0407700,PBANKA_1005300,-5.69
TGGT1_258650,PF3D7_1364900,PBANKA_1140700,-5.69
TGGT1_293670,PF3D7_0714500,PBANKA_1421100,-5.68
TGGT1_292190,PF3D7_1225300,PBANKA_1440200,-5.68
TGGT1_284570,PF3D7_0713800,PBANKA_1420400,-5.68
TGGT1_299210,PF3D7_1410200,PBANKA_1032300,-5.67
