"experiment"	"construct batch"	"gene"	"clone_id"	"cloneid"	"left_arm_length"	"right_arm_length"
"met1"	"barseq_0001"	"PBANKA_010740"	22798	"PbGEM-006127"	8341	401
"met1"	"barseq_0001"	"PBANKA_020230"	22697	"PbGEM-006938"	762	4224
"met1"	"barseq_0001"	"PBANKA_020380"	22664	"PbGEM-007164"	5658	560
"met1"	"barseq_0001"	"PBANKA_020640"	22803	"PbGEM-007536"	3121	3759
"met1"	"barseq_0001"	"PBANKA_021420"	22748	"PbGEM-008620"	4459	835
"met1"	"barseq_0001"	"PBANKA_030230"	22730	"PbGEM-009046"	6741	1191
"met1"	"barseq_0001"	"PBANKA_030260"	22795	"PbGEM-009087"	5393	2932
"met1"	"barseq_0001"	"PBANKA_030370"	22855	"PbGEM-009249"	1171	4581
"met1"	"barseq_0001"	"PBANKA_030500"	22615	"PbGEM-009429"	1141	4658
"met1"	"barseq_0001"	"PBANKA_040230"	22689	"PbGEM-011169"	941	5066
"met1"	"barseq_0001"	"PBANKA_040410"	22860	"PbGEM-011394"	1131	5398
"met1"	"barseq_0001"	"PBANKA_040480"	22628	"PbGEM-011485"	1623	3409
"met1"	"barseq_0001"	"PBANKA_040960"	22715	"PbGEM-012162"	562	6374
"met1"	"barseq_0001"	"PBANKA_050400"	22698	"PbGEM-013997"	2231	4066
"met1"	"barseq_0001"	"PBANKA_051100"	22660	"PbGEM-015012"	1835	6483
"met1"	"barseq_0001"	"PBANKA_051150"	22624	"PbGEM-015092"	5629	987
"met1"	"barseq_0001"	"PBANKA_051210"	22695	"PbGEM-015181"	401	5226
"met1"	"barseq_0001"	"PBANKA_051360"	22737	"PbGEM-015379"	6446	401
"met1"	"barseq_0001"	"PBANKA_051690"	22831	"PbGEM-015860"	1121	9616
"met1"	"barseq_0001"	"PBANKA_051880"	22678	"PbGEM-016150"	1312	3328
"met1"	"barseq_0001"	"PBANKA_061140"	22685	"PbGEM-018598"	4808	886
"met1"	"barseq_0001"	"PBANKA_070650"	22712	"PbGEM-021205"	1857	2941
"met1"	"barseq_0001"	"PBANKA_071390"	22655	"PbGEM-022249"	1482	7008
"met1"	"barseq_0001"	"PBANKA_071490"	22671	"PbGEM-022409"	1063	4607
"met1"	"barseq_0001"	"PBANKA_071560"	22762	"PbGEM-022521"	4658	749
"met1"	"barseq_0001"	"PBANKA_080820"	22725	"PbGEM-024572"	5240	1917
"met1"	"barseq_0001"	"PBANKA_082340"	22637	"PbGEM-026437"	711	4652
"met1"	"barseq_0001"	"PBANKA_082650"	22642	"PbGEM-026807"	1757	3747
"met1"	"barseq_0001"	"PBANKA_082870"	22687	"PbGEM-027131"	3448	2722
"met1"	"barseq_0001"	"PBANKA_083260"	22683	"PbGEM-027695"	6137	551
"met1"	"barseq_0001"	"PBANKA_083310"	22645	"PbGEM-027775"	5408	594
"met1"	"barseq_0001"	"PBANKA_091170"	22623	"PbGEM-029891"	1318	1612
"met1"	"barseq_0001"	"PBANKA_091260"	22816	"PbGEM-030028"	1147	4862
"met1"	"barseq_0001"	"PBANKA_091980"	22722	"PbGEM-030936"	1094	4870
"met1"	"barseq_0001"	"PBANKA_091990"	22857	"PbGEM-030952"	4219	401
"met1"	"barseq_0001"	"PBANKA_093130"	22692	"PbGEM-032467"	5330	813
"met1"	"barseq_0001"	"PBANKA_093290"	22768	"PbGEM-032706"	1379	5753
"met1"	"barseq_0001"	"PBANKA_093390"	22679	"PbGEM-032866"	1703	3929
"met1"	"barseq_0001"	"PBANKA_101140"	22662	"PbGEM-035962"	1656	1713
"met1"	"barseq_0001"	"PBANKA_101530"	22794	"PbGEM-036523"	2615	671
"met1"	"barseq_0001"	"PBANKA_101610"	22717	"PbGEM-036651"	5114	2940
"met1"	"barseq_0001"	"PBANKA_101680"	22858	"PbGEM-036749"	959	7173
"met1"	"barseq_0001"	"PBANKA_102230"	22652	"PbGEM-037559"	5933	1743
"met1"	"barseq_0001"	"PBANKA_103000"	22869	"PbGEM-038613"	587	8336
"met1"	"barseq_0001"	"PBANKA_103340"	22790	"PbGEM-039094"	5076	796
"met1"	"barseq_0001"	"PBANKA_103560"	22716	"PbGEM-039446"	3828	995
"met1"	"barseq_0001"	"PBANKA_111180"	22807	"PbGEM-041695"	1062	6866
"met1"	"barseq_0001"	"PBANKA_111300"	22631	"PbGEM-041880"	804	5428
"met1"	"barseq_0001"	"PBANKA_111330"	22721	"PbGEM-041928"	4599	1227
"met1"	"barseq_0001"	"PBANKA_112020"	22760	"PbGEM-042878"	8063	939
"met1"	"barseq_0001"	"PBANKA_112190"	22632	"PbGEM-043101"	1669	3721
"met1"	"barseq_0001"	"PBANKA_112240"	22663	"PbGEM-043181"	5037	1158
"met1"	"barseq_0001"	"PBANKA_112280"	22861	"PbGEM-043245"	7100	1360
"met1"	"barseq_0001"	"PBANKA_112360"	22867	"PbGEM-043373"	7402	1154
"met1"	"barseq_0001"	"PBANKA_112420"	22641	"PbGEM-043455"	1753	1518
"met1"	"barseq_0001"	"PBANKA_112490"	22850	"PbGEM-043567"	2567	5283
"met1"	"barseq_0001"	"PBANKA_112510"	22700	"PbGEM-043599"	4652	1018
"met1"	"barseq_0001"	"PBANKA_112560"	22701	"PbGEM-043672"	695	2736
"met1"	"barseq_0001"	"PBANKA_112620"	22751	"PbGEM-043765"	1211	5835
"met1"	"barseq_0001"	"PBANKA_113430"	22666	"PbGEM-044843"	702	401
"met1"	"barseq_0001"	"PBANKA_121100"	22796	"PbGEM-047958"	3620	1359
"met1"	"barseq_0001"	"PBANKA_121620"	22745	"PbGEM-048678"	1017	5620
"met1"	"barseq_0001"	"PBANKA_121730"	22657	"PbGEM-048854"	1984	5271
"met1"	"barseq_0001"	"PBANKA_121800"	22799	"PbGEM-048959"	1269	7806
"met1"	"barseq_0001"	"PBANKA_122010"	22630	"PbGEM-049260"	2731	775
"met1"	"barseq_0001"	"PBANKA_122100"	22693	"PbGEM-049404"	4342	1456
"met1"	"barseq_0001"	"PBANKA_122580"	22797	"PbGEM-050127"	3147	5209
"met1"	"barseq_0001"	"PBANKA_123230"	22713	"PbGEM-051034"	1333	3922
"met1"	"barseq_0001"	"PBANKA_124200"	22646	"PbGEM-052290"	1715	3016
"met1"	"barseq_0001"	"PBANKA_130380"	22729	"PbGEM-053579"	6357	1310
"met1"	"barseq_0001"	"PBANKA_130890"	22750	"PbGEM-054353"	4384	854
"met1"	"barseq_0001"	"PBANKA_131720"	22649	"PbGEM-055524"	1041	1972
"met1"	"barseq_0001"	"PBANKA_132810"	22644	"PbGEM-056941"	1470	4041
"met1"	"barseq_0001"	"PBANKA_132910"	22808	"PbGEM-057101"	7654	1484
"met1"	"barseq_0001"	"PBANKA_132950"	22694	"PbGEM-057165"	3672	698
"met1"	"barseq_0001"	"PBANKA_133410"	22805	"PbGEM-057754"	8731	639
"met1"	"barseq_0001"	"PBANKA_133560"	22650	"PbGEM-057987"	757	4359
"met1"	"barseq_0001"	"PBANKA_133580"	22749	"PbGEM-058012"	4851	1387
"met1"	"barseq_0001"	"PBANKA_134040"	22640	"PbGEM-058661"	656	3932
"met1"	"barseq_0001"	"PBANKA_134280"	22747	"PbGEM-058996"	6739	1038
"met1"	"barseq_0001"	"PBANKA_134620"	22854	"PbGEM-059503"	979	7545
"met1"	"barseq_0001"	"PBANKA_135520"	22614	"PbGEM-060754"	577	6560
"met1"	"barseq_0001"	"PBANKA_136190"	22859	"PbGEM-061754"	2926	5796
"met1"	"barseq_0001"	"PBANKA_140340"	22638	"PbGEM-062743"	1863	4429
"met1"	"barseq_0001"	"PBANKA_140510"	22744	"PbGEM-062994"	5600	1548
"met1"	"barseq_0001"	"PBANKA_140610"	22667	"PbGEM-063126"	575	4863
"met1"	"barseq_0001"	"PBANKA_141050"	22680	"PbGEM-063795"	4869	1077
"met1"	"barseq_0001"	"PBANKA_142370"	22658	"PbGEM-065557"	5952	1019
"met1"	"barseq_0001"	"PBANKA_142670"	22852	"PbGEM-065967"	1224	5395
"met1"	"barseq_0001"	"PBANKA_143420"	22665	"PbGEM-067050"	3212	1598
"met1"	"barseq_0001"	"PBANKA_143480"	22647	"PbGEM-067146"	2084	746
"met1"	"barseq_0001"	"PBANKA_144260"	22853	"PbGEM-068335"	4725	1839
"met1"	"barseq_0001"	"PBANKA_144530"	22872	"PbGEM-068725"	8844	911
"met1"	"barseq_0001"	"PBANKA_144890"	22766	"PbGEM-069252"	1813	4983
"met1"	"barseq_0001"	"PBANKA_145440"	22673	"PbGEM-070062"	1266	4260
"met1"	"barseq_0001"	"PBANKA_146060"	22870	"PbGEM-071005"	5765	2650
						
"met2"	"barseq_0002"	"PBANKA_010130"	23083	"PbGEM-081231"	5190	1207
"met2"	"barseq_0002"	"PBANKA_011010"	23012	"PbGEM-081763"	401	401
"met2"	"barseq_0002"	"PBANKA_020330"	22921	"PbGEM-007091"	1230	6212
"met2"	"barseq_0002"	"PBANKA_021020"	23000	"PbGEM-082529"	4138	401
"met2"	"barseq_0002"	"PBANKA_021140"	23017	"PbGEM-082644"	1012	4120
"met2"	"barseq_0002"	"PBANKA_030510"	22886	"PbGEM-083189"	4811	754
"met2"	"barseq_0002"	"PBANKA_030860"	23081	"PbGEM-083434"	2701	1875
"met2"	"barseq_0002"	"PBANKA_030980"	23086	"PbGEM-083560"	1089	4316
"met2"	"barseq_0002"	"PBANKA_031240"	23011	"PbGEM-083773"	551	2512
"met2"	"barseq_0002"	"PBANKA_031500"	22914	"PbGEM-010777"	4189	882
"met2"	"barseq_0002"	"PBANKA_031590"	22892	"PbGEM-010877"	1227	4373
"met2"	"barseq_0002"	"PBANKA_040190"	23028	"PbGEM-084099"	3508	2322
"met2"	"barseq_0002"	"PBANKA_040760"	23042	"PbGEM-084472"	1214	5354
"met2"	"barseq_0002"	"PBANKA_041030"	22911	"PbGEM-012274"	3243	2295
